Date de Vente, Nature de la vente, Prix, Numero de voie, Type de voie, Nom de voie, Code postal, Code type local, Nombre de pièces, Surface réelle bati, Surface terrain
2014,Vente,370000,21,RUE,HANAPPIER,33200,1,3,50,109
2014,Vente,297400,62,RUE,D AUBIDEY,33800,1,4,120,134
2014,Vente,578000,29,RUE,TOURAT,33000,1,4,200,101
2014,Vente,256000,46,RUE,CHEVALIER,33000,1,3,65,95
2014,Vente,285700,19,RUE,CALENDRIN CAUD,33200,1,4,79,286
2014,Vente,397300,11,RUE,PIERRE LOTI,33800,1,1,105,139
2014,Vente,307000,176,RUE,BERNARD ADOUR CAUD,33200,1,2,43,118
2014,Vente,307000,176,RUE,BERNARD ADOUR CAUD,33200,1,3,68,272
2014,Vente,700000,284,RUE,JUDAIQUE,33000,2,3,65,270
2014,Vente,700000,284,RUE,JUDAIQUE,33000,1,4,113,270
2014,Vente,700000,284,RUE,JUDAIQUE,33000,2,3,79,270
2014,Vente,700000,284,RUE,JUDAIQUE,33000,4,0,104,270
2014,Vente,700000,284,RUE,JUDAIQUE,33000,4,0,106,270
2014,Vente,1500000,50,ALL,DE TOURNY,33000,2,5,153,185
2014,Vente,1500000,50,ALL,DE TOURNY,33000,4,0,300,185
2014,Vente,1500000,50,ALL,DE TOURNY,33000,2,0,242,185
2014,Vente,1500000,50,ALL,DE TOURNY,33000,4,0,126,185
2014,Vente,568450,88,RUE,DE SOISSONS,33000,1,6,187,193
2014,Vente,560000,91,RUE,MONDENARD,33000,1,9,195,162
2014,Vente,257500,8,RUE,J JACQUES ROUSSEAU CAUD,33200,1,2,52,352
2014,Vente,480000,8,RUE,ALFRED GRIMAL CAUD,33200,1,5,146,988
2014,Vente,912000,230,RUE,CAMILLE GODARD,33000,4,0,790,836
2014,Vente,912000,230,RUE,CAMILLE GODARD,33000,2,1,60,836
2014,Vente,169000,17,RUE,PIERRE BROSSOLETTE,33200,1,3,54,217
2014,Vente,101500,355,AV,D ARES,33200,1,2,20,38
2014,Vente,230000,59,RUE,FAMATINA,33200,1,3,60,144
2014,Vente,450000,8,RUE,PIERRE NOGUEY,33000,1,5,106,216
2014,Vente,165000,257,RUE,DE TURENNE,33000,1,1,47,52
2014,Vente,230000,53,RUE,LAROCHE,33000,1,4,120,212
2014,Vente,415000,7,RUE,CHARLES CHAUMET CAUD,33200,1,4,120,118
2014,Vente,462000,131,RUE,MANDRON,33000,1,6,105,178
2014,Vente,200000,1,RUE,DE CAUDERAN,33000,1,3,70,51
2014,Vente,504000,70,RUE,JUDE,33200,1,4,120,199
2014,Vente,504000,70,RUE,JUDE,33200,1,4,120,244
2014,Vente,504000,68,RUE,JUDE,33200,1,4,105,219
2014,Vente,504000,68,RUE,JUDE,33200,1,4,105,217
2014,Vente,370000,92,CRS,DU MEDOC,33300,2,4,87,168
2014,Vente,370000,92,CRS,DU MEDOC,33300,2,3,54,168
2014,Vente,370000,92,CRS,DU MEDOC,33300,2,2,37,168
2014,Vente,437580,9,RUE,PERINOT,33200,1,5,130,649
2014,Vente,180000,13,RUE,RAYMOND LARTIGUE,33000,1,3,100,127
2014,Vente,190000,212,AV,DE LA REPUBLIQUE  CAUD,33200,1,3,86,207
2014,Vente,226250,66,RUE,GUYNEMER CAUD,33200,1,1,63,125
2014,Vente,500000,5,RUE,DU MOULIN ROUGE,33200,1,5,120,413
2014,Vente,303000,31,RUE,DE BRACH,33000,2,2,40,224
2014,Vente,303000,31,RUE,DE BRACH,33000,2,2,22,224
2014,Vente,303000,31,RUE,DE BRACH,33000,2,2,40,224
2014,Vente,380000,9,RUE,DETROIS,33200,1,4,91,390
2014,Vente,70000,22,IMP,DE LA PRAIRIE,33300,1,3,40,51
2014,Vente,396000,21,RUE,LEBRUN,33000,2,2,48,62
2014,Vente,396000,21,RUE,LEBRUN,33000,2,1,48,62
2014,Vente,396000,21,RUE,LEBRUN,33000,2,2,46,62
2014,Vente,385000,58,CRS,PORTAL,33000,2,3,50,76
2014,Vente,385000,58,CRS,PORTAL,33000,3,0,0,76
2014,Vente,385000,58,CRS,PORTAL,33000,2,3,50,76
2014,Vente,385000,58,CRS,PORTAL,33000,4,0,40,76
2014,Vente,385000,58,CRS,PORTAL,33000,4,0,20,76
2014,Vente,469700,1,RUE,MANDRON,33000,1,2,70,48
2014,Vente,310000,129,RUE,DE LA LIBERTE,33200,1,4,85,293
2014,Vente,301341,31,BD,ANTOINE GAUTIER,33000,4,0,469,695
2014,Vente,293000,16,RUE,REPOND,33000,1,3,80,71
2014,Vente,450000,96,BD,PIERRE 1ER,33000,4,0,323,544
2014,Vente,370700,21,RUE,LAGRAVEYRE,33200,1,3,139,558
2014,Vente,397000,53,RUE,SOUBIRAS CAUD,33200,1,3,85,223
2014,Vente,248500,44,RUE,D ORMILLY,33200,1,3,90,74
2014,Vente,285000,43,RUE,GOUFFRAND,33300,2,3,40,74
2014,Vente,285000,43,RUE,GOUFFRAND,33300,2,2,40,74
2014,Vente,743000,44,RUE,SCALIGER,33000,4,0,36,182
2014,Vente,743000,44,RUE,SCALIGER,33000,2,2,33,182
2014,Vente,743000,44,RUE,SCALIGER,33000,3,0,0,182
2014,Vente,743000,44,RUE,SCALIGER,33000,4,0,110,182
2014,Vente,743000,44,RUE,SCALIGER,33000,2,2,45,182
2014,Vente,140000,34,ALL,DE VAMPEULE,33300,1,4,80,699
2014,Vente,60000,130,BD,ALBERT BRANDENBURG,33300,2,2,47,169
2014,Vente,60000,130,BD,ALBERT BRANDENBURG,33300,2,2,44,169
2014,Vente,650000,9,BD,DU PRESIDENT WILSON,33200,4,0,300,135
2014,Vente,265000,3,RUE,PEYREBLANQUE,33000,1,4,90,63
2014,Vente,336650,209,AV,DE LA REPUBLIQUE  CAUD,33200,1,4,111,299
2014,Vente,585500,17,RUE,DE PAUILLAC CAUD,33200,1,6,160,224
2014,Vente,953700,70,CRS,MARC NOUAUX,33000,1,8,190,211
2014,Vente,265000,52,RUE,NAUJAC,33000,1,4,80,179
2014,Vente,350000,21,IMP,SULLY,33000,1,3,90,50
2014,Vente,1880000,23,RUE,FERRERE,33000,2,3,122,429
2014,Vente,1880000,23,RUE,FERRERE,33000,4,0,196,429
2014,Vente,1880000,23,RUE,FERRERE,33000,2,3,111,429
2014,Vente,1880000,23,RUE,FERRERE,33000,2,4,123,429
2014,Vente,240000,42,RUE,DES BLEUETS CAUD,33200,1,4,60,405
2014,Vente,328000,17,RUE,ALFRED DE VIGNY,33200,1,4,95,690
2014,Vente,11390000,20,RUE,DU CHATEAU D EAU,33000,4,0,7157,3505
2014,Vente,8370000,114,RUE,GEORGES BONNAC,33000,4,0,16941,2401
2014,Vente,600000,9,RUE,MICHEL MONTAIGNE,33000,2,1,48,73
2014,Vente,600000,9,RUE,MICHEL MONTAIGNE,33000,4,0,219,73
2014,Vente,600000,9,RUE,MICHEL MONTAIGNE,33000,2,2,48,73
2014,Vente,600000,9,RUE,MICHEL MONTAIGNE,33000,2,2,48,73
2014,Vente,490000,250,AV,DE LA REPUBLIQUE  CAUD,33200,1,5,110,580
2014,Vente,490000,250,AV,DE LA REPUBLIQUE  CAUD,33200,3,0,0,580
2014,Vente,490000,250,AV,DE LA REPUBLIQUE  CAUD,33200,3,0,0,580
2014,Vente,490000,250,AV,DE LA REPUBLIQUE  CAUD,33200,3,0,0,580
2014,Vente,490000,250,AV,DE LA REPUBLIQUE  CAUD,33200,3,0,0,580
2014,Vente,490000,250,AV,DE LA REPUBLIQUE  CAUD,33200,4,0,225,580
2014,Vente,490000,250,AV,DE LA REPUBLIQUE  CAUD,33200,3,0,0,580
2014,Vente,490000,250,AV,DE LA REPUBLIQUE  CAUD,33200,3,0,0,580
2014,Vente,200000,126,RUE,DE LA LIBERTE,33200,1,2,55,85
2014,Vente,218000,5,RUE,MURAT,33200,1,4,90,357
2014,Vente,391000,82,RUE,ROBERT D ENNERY,33200,1,5,85,238
2014,Vente,170000,1,RUE,DE LASEPPE,33000,1,4,66,67
2014,Vente,170000,1,RUE,DE LASEPPE,33000,4,0,40,67
2014,Vente,2200000,22,PL,CHARLES GRUET,33000,4,0,1112,940
2014,Vente,2200000,22,PL,CHARLES GRUET,33000,2,5,118,940
2014,Vente,230000,89,CITE,LAFON,33300,1,5,114,393
