Date de Vente, Nature de la vente, Prix, Numero de voie, Type de voie, Nom de voie, Code postal, Code type local, Surface réelle bati, Surface terrain
2014,Vente,950000,195,AV,MAL DE LATTRE DE TASSIGNY,33200,1,252,533
2014,Vente,950000,195,AV,MAL DE LATTRE DE TASSIGNY,33200,1,252,328
2014,Vente,295000,16,RUE,JEAN COUDANNE,33200,3,0,116
2014,Vente,295000,16,RUE,JEAN COUDANNE,33200,2,95,116
2014,Vente,295000,16,RUE,JEAN COUDANNE,33200,3,0,116
2014,Vente,465000,6,RUE,MARCELIN JOURDAN,33200,1,135,134
2014,Vente,245000,16,RUE,DAUPHINE,33200,4,0,277
2014,Vente,245000,16,RUE,DAUPHINE,33200,1,62,277
2014,Vente,390000,5,RUE,PIERRE LOTI CAUD,33200,1,121,217
2014,Vente,380000,75,RUE,DUCAU,33000,2,50,208
2014,Vente,380000,75,RUE,DUCAU,33000,2,35,208
2014,Vente,380000,75,RUE,DUCAU,33000,2,45,208
2014,Vente,380000,75,RUE,DUCAU,33000,2,42,208
2014,Vente,380000,75,RUE,DUCAU,33000,2,42,208
2014,Vente,683000,62,CRS,PORTAL,33000,4,373,126
2014,Vente,645000,22,RUE,DE LA JALLE,33000,1,140,236
2014,Vente,559180,9,RUE,BOISTAUD,33200,3,0,416
2014,Vente,559180,9,RUE,BOISTAUD,33200,2,80,416
2014,Vente,559180,9,RUE,BOISTAUD,33200,2,40,416
2014,Vente,223000,20,RUE,ESPIOT,33200,1,44,110
2014,Vente,330500,11,RUE,ROSNY,33200,1,71,94
2014,Vente,1120000,39,QUAI,BACALAN,33300,2,35,519
2014,Vente,1120000,39,QUAI,BACALAN,33300,2,35,519
2014,Vente,1120000,39,QUAI,BACALAN,33300,2,35,519
2014,Vente,1120000,39,QUAI,BACALAN,33300,2,35,519
2014,Vente,1120000,39,QUAI,BACALAN,33300,2,80,519
2014,Vente,1120000,39,QUAI,BACALAN,33300,2,80,519
2014,Vente,1120000,39,QUAI,BACALAN,33300,2,60,519
2014,Vente,1120000,39,QUAI,BACALAN,33300,2,65,519
2014,Vente,1120000,39,QUAI,BACALAN,33300,2,35,519
2014,Vente,1120000,39,QUAI,BACALAN,33300,2,60,519
2014,Vente,1120000,39,QUAI,BACALAN,33300,4,462,519
2014,Vente,1120000,39,QUAI,BACALAN,33300,2,35,519
2014,Vente,1120000,39,QUAI,BACALAN,33300,2,60,519
